annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;combinaison_triee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009186;LUNDI   ;08/06/2009;08/08/2009;31;29;41;25;22;5;22-25-29-31-41+5;22-25-29-31-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009187;MERCREDI;10/06/2009;10/08/2009;45;42;27;49;48;7;27-42-45-48-49+7;27-42-45-48-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009188;SAMEDI  ;13/06/2009;13/08/2009;39;16;46;28;24;4;16-24-28-39-46+4;16-24-28-39-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009189;LUNDI   ;15/06/2009;15/08/2009;49;11;41;21;40;4;11-21-40-41-49+4;11-21-40-41-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009190;MERCREDI;17/06/2009;17/08/2009;3;27;41;8;37;2;3-8-27-37-41+2;3-8-27-37-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009191;SAMEDI  ;20/06/2009;20/08/2009;26;27;49;21;33;7;21-26-27-33-49+7;21-26-27-33-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009192;LUNDI   ;22/06/2009;22/08/2009;36;17;42;28;41;4;17-28-36-41-42+4;17-28-36-41-42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009193;MERCREDI;24/06/2009;24/08/2009;17;21;22;16;4;1;4-16-17-21-22+1;4-16-17-21-22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009194;SAMEDI  ;27/06/2009;27/08/2009;13;4;3;41;6;8;3-4-6-13-41+8;3-4-6-13-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2009195;LUNDI   ;29/06/2009;29/08/2009;35;43;9;28;10;8;9-10-28-35-43+8;9-10-28-35-43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
